 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +1.0666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3142677007001289E+01	  +1.0000000000000000E+00	
  +1.0833333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.3000000000000000E+01	  +2.3116500604454341E+01	  +1.0000000000000000E+00	
  +1.1000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3249623230454887E+01	  +1.0000000000000000E+00	
  +1.1166666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3333374797380326E+01	  +1.0000000000000000E+00	
  +1.1333333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.0000000000000000E+01	  +2.3297295440883708E+01	  +1.0000000000000000E+00	
  +1.1500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2000000000000000E+01	  +2.3290210463034462E+01	  +1.0000000000000000E+00	
  +1.1666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3307078012648468E+01	  +1.0000000000000000E+00	
  +1.1833333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.9000000000000007E+01	  +2.3295214835969375E+01	  +1.0000000000000000E+00	
  +1.2000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3315799135724259E+01	  +1.0000000000000000E+00	
  +1.2166666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3332272316465357E+01	  +1.0000000000000000E+00	
  +1.2333333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3314251130933407E+01	  +1.0000000000000000E+00	
  +1.2500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3310430962604020E+01	  +1.0000000000000000E+00	
  +1.2666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.4999999999999993E+01	  +2.3278532011169066E+01	  +1.0000000000000000E+00	
  +1.2833333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.3252935264496227E+01	  +1.0000000000000000E+00	
  +1.3000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3263572647427257E+01	  +1.0000000000000000E+00	
  +1.3166666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.2000000000000000E+01	  +2.3241871056925696E+01	  +1.0000000000000000E+00	
  +1.3333333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.4000000000000000E+01	  +2.3174058387695460E+01	  +1.0000000000000000E+00	
  +1.3500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.5000000000000000E+01	  +2.3123871771616063E+01	  +1.0000000000000000E+00	
  +1.3666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.7000000000000000E+01	  +2.3103986383917249E+01	  +1.0000000000000000E+00	
  +1.3833333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.1000000000000000E+01	  +2.3103830936587066E+01	  +1.0000000000000000E+00	
  +1.4000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3092300690092035E+01	  +1.0000000000000000E+00	
  +1.4166666666666666E+01	  +5.7744851172827162E+04	  +1.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3319038853304971E+01	  +1.0000000000000000E+00	
  +1.4333333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3703097351577807E+01	  +1.0000000000000000E+00	
  +1.4500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3510082315296057E+01	  +1.0000000000000000E+00	
  +1.4666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.3199845311717795E+01	  +1.0000000000000000E+00	
  +1.4833333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3497626111287477E+01	  +1.0000000000000000E+00	
  +1.5000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999993E+01	  +2.3707776342973460E+01	  +1.0000000000000000E+00	
  +1.5166666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.1000000000000000E+01	  +2.3410464139923391E+01	  +1.0000000000000000E+00	
  +1.5333333333333334E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3162169100592017E+01	  +1.0000000000000000E+00	
  +1.5500000000000000E+01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3677763226423604E+01	  +1.0000000000000000E+00	
  +1.5666666666666666E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3780991480209909E+01	  +1.0000000000000000E+00	
  +1.5833333333333334E+01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3281768992304713E+01	  +1.0000000000000000E+00	
  +1.6000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3406832329506429E+01	  +1.0000000000000000E+00	
  +1.6166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3515263931272923E+01	  +1.0000000000000000E+00	
  +1.6333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.7000000000000000E+01	  +2.3443311532080134E+01	  +1.0000000000000000E+00	
  +1.6500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000007E+01	  +2.3431562135980236E+01	  +1.0000000000000000E+00	
  +1.6666666666666668E+01	  +4.5086651084000208E+04	  +1.0000000000000000E+00	  +3.9999999999999993E+01	  +2.3411672496479277E+01	  +1.0000000000000000E+00	
  +1.6833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3514162406102884E+01	  +1.0000000000000000E+00	
  +1.7000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.0000000000000000E+01	  +2.3652584225182178E+01	  +1.0000000000000000E+00	
