 TIME                    	Tin                      	Tout                     	Gas                      	signal                   	elec                     	RHin                     	RHout                    	occ                      	rwt                      	swt                      	setpoint                 	
 HOURS              	NAV                 	øC                  	kJ/hr               	NAV                 	NAV                 	NAV                 	%                   	NAV                 	NAV                 	øC                  	NAV                 	
  +5.5000000000000000E+00	  +1.9348161614821066E+01	  +3.6750000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9440000000000006E+02	  +4.5379146576261064E+01	  +8.2833333333333343E+01	  +1.0000000000000000E+00	  +1.9657903349729676E+01	  +1.9657903349729676E+01	  +5.5000000000000000E+01	
  +5.6666666666666670E+00	  +1.9311285041409725E+01	  +3.6250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5120000000000013E+02	  +4.5302141545642208E+01	  +8.3166666666666657E+01	  +1.0000000000000000E+00	  +1.9659161021233970E+01	  +1.9659161021233970E+01	  +8.0000000000000000E+01	
  +5.8333333333333330E+00	  +1.9305246980973873E+01	  +3.5750000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8539999999999992E+02	  +4.5144794412655514E+01	  +8.3500000000000000E+01	  +1.0000000000000000E+00	  +1.9661011148677268E+01	  +1.9661011148677268E+01	  +7.0000000000000000E+01	
  +6.0000000000000000E+00	  +1.9280442645027140E+01	  +3.5250000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2860000000000002E+02	  +4.5046685567560061E+01	  +8.3833333333333343E+01	  +1.0000000000000000E+00	  +1.9662225192034018E+01	  +1.9662225192034018E+01	  +5.5000000000000000E+01	
  +6.1666666666666670E+00	  +1.9240982602288774E+01	  +3.4833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1059999999999985E+02	  +4.4995458468532547E+01	  +8.4083333333333343E+01	  +1.0000000000000000E+00	  +1.9663818240774784E+01	  +1.9663818240774784E+01	  +4.0000000000000000E+01	
  +6.3333333333333330E+00	  +1.9221247832863291E+01	  +3.4500000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6740000000000001E+02	  +4.4894086463451117E+01	  +8.4250000000000000E+01	  +1.0000000000000000E+00	  +1.9662683915765378E+01	  +1.9662683915765378E+01	  +6.5000000000000000E+01	
  +6.5000000000000000E+00	  +1.9208022367253957E+01	  +3.4166666666666674E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7279999999999993E+02	  +4.4779463903308880E+01	  +8.4416666666666657E+01	  +1.0000000000000000E+00	  +1.9663467854289937E+01	  +1.9663467854289937E+01	  +8.0000000000000000E+01	
  +6.6666666666666670E+00	  +1.9220448021136150E+01	  +3.3833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1780000000000032E+02	  +4.4598308431252313E+01	  +8.4583333333333343E+01	  +1.0000000000000000E+00	  +1.9662853289628046E+01	  +1.9662853289628046E+01	  +7.5000000000000000E+01	
  +6.8333333333333330E+00	  +1.9255264285126664E+01	  +3.3500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.0239999999999998E+02	  +4.4360322429725350E+01	  +8.4750000000000000E+01	  +1.0000000000000000E+00	  +1.9663036095867191E+01	  +1.9663036095867191E+01	  +5.5000000000000000E+01	
  +7.0000000000000000E+00	  +1.9244744370025501E+01	  +3.3166666666666673E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.3299999999999989E+02	  +4.4252638654561537E+01	  +8.4916666666666657E+01	  +1.0000000000000000E+00	  +1.9662724695578063E+01	  +1.9662724695578063E+01	  +4.5000000000000000E+01	
  +7.1666666666666670E+00	  +1.9219943705335087E+01	  +3.2833333333333332E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.6900000000000063E+02	  +4.4189289137896147E+01	  +8.5166666666666657E+01	  +1.0000000000000000E+00	  +1.9663279170081196E+01	  +1.9663279170081196E+01	  +6.5000000000000000E+01	
  +7.3333333333333330E+00	  +1.9271571636242612E+01	  +3.2500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.3280000000000007E+02	  +4.3922016216962803E+01	  +8.5500000000000000E+01	  +1.0000000000000000E+00	  +1.9660917001422209E+01	  +1.9660917001422209E+01	  +5.0000000000000000E+01	
  +7.5000000000000000E+00	  +1.9320129666262417E+01	  +3.2166666666666672E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.4539999999999895E+02	  +4.3670507624015436E+01	  +8.5833333333333343E+01	  +1.0000000000000000E+00	  +1.9660702140486070E+01	  +1.9660702140486070E+01	  +6.5000000000000000E+01	
  +7.6666666666666670E+00	  +1.9478703791290613E+01	  +3.1833333333333336E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1016000000000004E+03	  +4.3129766223619995E+01	  +8.6166666666666657E+01	  +1.0000000000000000E+00	  +1.9659607986744316E+01	  +1.9659607986744316E+01	  +8.0000000000000000E+01	
  +7.8333333333333330E+00	  +1.9684622745778555E+01	  +3.1500000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.2276000000000008E+03	  +4.2476401773072510E+01	  +8.6500000000000000E+01	  +1.0000000000000000E+00	  +1.9659355095701571E+01	  +1.9659355095701571E+01	  +4.5000000000000000E+01	
  +8.0000000000000000E+00	  +1.9565662076932352E+01	  +3.1166666666666667E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.2720000000000061E+02	  +4.2691082361262595E+01	  +8.6833333333333343E+01	  +1.0000000000000000E+00	  +1.9659896686429349E+01	  +1.9659896686429349E+01	  +7.5000000000000000E+01	
  +8.1666666666666661E+00	  +1.9422386798662579E+01	  +3.1250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.8200000000000034E+02	  +4.2976416525012858E+01	  +8.6833333333333343E+01	  +1.0000000000000000E+00	  +1.9661024269084439E+01	  +1.9661024269084439E+01	  +5.0000000000000000E+01	
  +8.3333333333333339E+00	  +1.9442191023604792E+01	  +3.1750000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.4059999999999900E+02	  +4.2830330554515413E+01	  +8.6500000000000000E+01	  +1.0000000000000000E+00	  +1.9658948410016535E+01	  +1.9658948410016535E+01	  +5.5000000000000000E+01	
  +8.5000000000000000E+00	  +1.9357213186694604E+01	  +3.2250000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.6159999999999991E+02	  +4.2966800048454708E+01	  +8.6166666666666657E+01	  +1.0000000000000000E+00	  +1.9658408942215164E+01	  +1.9658408942215164E+01	  +6.5000000000000000E+01	
  +8.6666666666666661E+00	  +1.9271013846179805E+01	  +3.2750000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +5.3999999999999670E+02	  +4.3109857581993815E+01	  +8.5833333333333343E+01	  +1.0000000000000000E+00	  +1.9657276568366097E+01	  +1.9657276568366097E+01	  +4.5000000000000000E+01	
  +8.8333333333333339E+00	  +1.9392282504378322E+01	  +3.3250000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0044000000000002E+03	  +4.2700802012434352E+01	  +8.5500000000000000E+01	  +1.0000000000000000E+00	  +1.9655695574637249E+01	  +1.9655695574637249E+01	  +4.0000000000000000E+01	
  +9.0000000000000000E+00	  +1.9528211341175574E+01	  +3.3750000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0691999999999985E+03	  +4.2259864441363973E+01	  +8.5166666666666657E+01	  +1.0000000000000000E+00	  +1.9653917096412972E+01	  +1.9653917096412972E+01	  +6.5000000000000000E+01	
  +9.1666666666666661E+00	  +1.9415333739279312E+01	  +3.4166666666666665E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.5160000000000116E+02	  +4.2478427623280346E+01	  +8.4916666666666657E+01	  +1.0000000000000036E+00	  +1.9653512406664671E+01	  +1.9653512406664671E+01	  +5.5000000000000000E+01	
  +9.3333333333333339E+00	  +1.9214594969606171E+01	  +3.4500000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.9319999999999970E+02	  +4.2935747231715084E+01	  +8.4750000000000000E+01	  +4.9999999999999811E-01	  +1.9651638156983886E+01	  +1.9651638156983886E+01	  +7.0000000000000000E+01	
  +9.5000000000000000E+00	  +1.9077529441328036E+01	  +3.4833333333333329E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1219999999999970E+02	  +4.3229816016587399E+01	  +8.4583333333333343E+01	  +0.0000000000000000E+00	  +1.9649837233809183E+01	  +1.9651638156983886E+01	  +7.0000000000000000E+01	
  +9.6666666666666661E+00	  +1.9000177695846308E+01	  +3.5166666666666666E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.3300000000000080E+02	  +4.3367274436481097E+01	  +8.4416666666666657E+01	  +0.0000000000000000E+00	  +1.9646396457663656E+01	  +1.9646396457663656E+01	  +5.5000000000000000E+01	
  +9.8333333333333339E+00	  +1.8949729607335975E+01	  +3.5500000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2499999999999977E+02	  +4.3435122369485924E+01	  +8.4250000000000000E+01	  +0.0000000000000000E+00	  +1.9643006373806983E+01	  +1.9643006373806983E+01	  +7.5000000000000000E+01	
  +1.0000000000000000E+01	  +1.8873931631174834E+01	  +3.5833333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6380000000000001E+02	  +4.3574871990731850E+01	  +8.4083333333333343E+01	  +0.0000000000000000E+00	  +1.9639412930211503E+01	  +1.9639412930211503E+01	  +5.5000000000000000E+01	
  +1.0166666666666666E+01	  +1.8829057525854488E+01	  +3.6416666666666666E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6919999999999970E+02	  +4.3633288893008810E+01	  +8.3750000000000000E+01	  +0.0000000000000000E+00	  +1.9635242383892031E+01	  +1.9635242383892031E+01	  +5.0000000000000000E+01	
  +1.0333333333333334E+01	  +1.8847271412213054E+01	  +3.7250000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1420000000000005E+02	  +4.3522014721970223E+01	  +8.3250000000000000E+01	  +0.0000000000000000E+00	  +1.9629545016832388E+01	  +1.9629545016832388E+01	  +5.0000000000000000E+01	
  +1.0500000000000000E+01	  +1.8869960396395616E+01	  +3.8083333333333331E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2859999999999985E+02	  +4.3400860529231167E+01	  +8.2750000000000000E+01	  +0.0000000000000000E+00	  +1.9624908975492723E+01	  +1.9624908975492723E+01	  +5.5000000000000000E+01	
  +1.0666666666666666E+01	  +1.8868764387524323E+01	  +3.8916666666666666E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8539999999999986E+02	  +4.3346552708015977E+01	  +8.2250000000000000E+01	  +0.0000000000000000E+00	  +1.9619945977605660E+01	  +1.9619945977605660E+01	  +7.0000000000000000E+01	
  +1.0833333333333334E+01	  +1.8868672863803251E+01	  +3.9750000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0880000000000047E+02	  +4.3291073610472047E+01	  +8.1750000000000000E+01	  +0.0000000000000000E+00	  +1.9615472954425851E+01	  +1.9615472954425851E+01	  +7.5000000000000000E+01	
  +1.1000000000000000E+01	  +1.8877271000314284E+01	  +4.0583333333333327E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.3120000000000022E+02	  +4.3213835765385568E+01	  +8.1250000000000000E+01	  +0.0000000000000000E+00	  +1.9610735887546355E+01	  +1.9610735887546355E+01	  +4.5000000000000000E+01	
  +1.1166666666666666E+01	  +1.8895228161913096E+01	  +4.1416666666666666E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8700000000000034E+02	  +4.3113812324223190E+01	  +8.0833333333333343E+01	  +0.0000000000000000E+00	  +1.9606267489456961E+01	  +1.9606267489456961E+01	  +4.0000000000000000E+01	
  +1.1333333333333334E+01	  +1.8902381350297777E+01	  +4.2250000000000005E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.3479999999999978E+02	  +4.3046372335390153E+01	  +8.0500000000000000E+01	  +0.0000000000000000E+00	  +1.9600621314403710E+01	  +1.9600621314403710E+01	  +7.5000000000000000E+01	
  +1.1500000000000000E+01	  +1.8879016312949950E+01	  +4.3083333333333327E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.7899999999999989E+02	  +4.3064601181862429E+01	  +8.0166666666666657E+01	  +0.0000000000000000E+00	  +1.9596268972590401E+01	  +1.9596268972590401E+01	  +4.5000000000000000E+01	
  +1.1666666666666666E+01	  +1.8859867216210084E+01	  +4.3916666666666666E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4840000000000015E+02	  +4.3074897915661950E+01	  +7.9833333333333343E+01	  +0.0000000000000000E+00	  +1.9591187433157646E+01	  +1.9591187433157646E+01	  +7.5000000000000000E+01	
  +1.1833333333333334E+01	  +1.8848721478557867E+01	  +4.4750000000000005E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2679999999999995E+02	  +4.3066923100958661E+01	  +7.9500000000000000E+01	  +0.0000000000000000E+00	  +1.9586397286777370E+01	  +1.9586397286777370E+01	  +5.5000000000000000E+01	
  +1.2000000000000000E+01	  +1.8814052098755354E+01	  +4.5583333333333327E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1599999999999986E+02	  +4.3125451177711867E+01	  +7.9166666666666657E+01	  +0.0000000000000000E+00	  +1.9581377598183444E+01	  +1.9581377598183444E+01	  +5.0000000000000000E+01	
  +1.2166666666666666E+01	  +1.8773082527491841E+01	  +4.6250000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7280000000000007E+02	  +4.3203251575404266E+01	  +7.8833333333333343E+01	  +0.0000000000000000E+00	  +1.9576492433732550E+01	  +1.9576492433732550E+01	  +5.5000000000000000E+01	
  +1.2333333333333334E+01	  +1.8761055458773036E+01	  +4.6749999999999998E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.6380000000000015E+02	  +4.3203706826657537E+01	  +7.8500000000000000E+01	  +0.0000000000000000E+00	  +1.9570169151497904E+01	  +1.9570169151497904E+01	  +7.5000000000000000E+01	
  +1.2500000000000000E+01	  +1.8773309649879725E+01	  +4.7250000000000005E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0700000000000011E+02	  +4.3138898516628970E+01	  +7.8166666666666657E+01	  +0.0000000000000000E+00	  +1.9564747676025096E+01	  +1.9564747676025096E+01	  +8.0000000000000000E+01	
  +1.2666666666666666E+01	  +1.8792912294174783E+01	  +4.7750000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2860000000000025E+02	  +4.3054667502171746E+01	  +7.7833333333333343E+01	  +0.0000000000000000E+00	  +1.9558776226891904E+01	  +1.9558776226891904E+01	  +5.5000000000000000E+01	
  +1.2833333333333334E+01	  +1.8787296139202944E+01	  +4.8250000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9080000000000001E+02	  +4.3038647504408004E+01	  +7.7500000000000000E+01	  +0.0000000000000000E+00	  +1.9553391776091502E+01	  +1.9553391776091502E+01	  +6.5000000000000000E+01	
  +1.3000000000000000E+01	  +1.8745471440314478E+01	  +4.8750000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9080000000000041E+02	  +4.3120370398192826E+01	  +7.7166666666666657E+01	  +0.0000000000000000E+00	  +1.9547891300815088E+01	  +1.9547891300815088E+01	  +7.5000000000000000E+01	
